ID,NUMERO_COMPTE,MONTANT,TYPE,DATE,DESCRIPTION
001,FR7630003007941234567890187,-50.0,DEBIT,2024-01-11 14:35:00,RETRAIT DAB
002,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 14:40:00,VIREMENT RECU
003,FR7630002007941234567890186,-50.0,DEBIT,2024-01-11 14:45:00,RETRAIT DAB
004,FR7630002007941234567890186,100.0,CREDIT,2024-01-11 14:50:00,VIREMENT RECU
005,FR7630001007941234567890185,-50.0,DEBIT,2024-01-11 14:55:00,RETRAIT DAB
006,FR7630002007941234567890186,100.0,CREDIT,2024-01-11 15:00:00,VIREMENT RECU
007,FR7630002007941234567890186,-50.0,DEBIT,2024-01-11 15:05:00,RETRAIT DAB
008,FR7630003007941234567890187,100.0,CREDIT,2024-01-11 15:10:00,VIREMENT RECU
009,FR7630001007941234567890185,-50.0,DEBIT,2024-01-11 15:15:00,RETRAIT DAB
010,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 15:20:00,VIREMENT RECU
011,FR7630003007941234567890187,-50.0,DEBIT,2024-01-11 15:25:00,RETRAIT DAB
012,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 15:30:00,VIREMENT RECU
013,FR7630002007941234567890186,-50.0,DEBIT,2024-01-11 15:35:00,RETRAIT DAB
014,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 15:40:00,VIREMENT RECU
015,FR7630001007941234567890185,-50.0,DEBIT,2024-01-11 15:45:00,RETRAIT DAB
016,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 15:50:00,VIREMENT RECU
017,FR7630001007941234567890185,-50.0,DEBIT,2024-01-11 15:55:00,RETRAIT DAB
018,FR7630002007941234567890186,100.0,CREDIT,2024-01-11 16:00:00,VIREMENT RECU
019,FR7630003007941234567890187,-50.0,DEBIT,2024-01-11 16:05:00,RETRAIT DAB
020,FR7630001007941234567890185,100.0,CREDIT,2024-01-11 16:10:00,VIREMENT RECU
